# russell1000 constituents - refreshed by scripts/refresh_universes.py
NVDA
AAPL
MSFT
AMZN
GOOGL
AVGO
GOOG
META
MU
TSLA
BRK-B
JPM
LLY
AMD
INTC
JNJ
XOM
V
WMT
CSCO
LRCX
AMAT
CAT
COST
ABBV
MA
GE
BAC
UNH
PG
HD
CVX
KLAC
GS
KO
NFLX
MRK
GEV
PM
TXN
SNDK
ORCL
WFC
MS
C
PLTR
RTX
IBM
LIN
MRVL
PANW
WDC
QCOM
ADI
APH
MCD
PEP
VZ
AMGN
TMO
AXP
TJX
NEE
DIS
ANET
CRWD
BA
GLW
ETN
ABT
GILD
UNP
T
SCHW
WELL
BLK
UBER
BKNG
DE
HON
ISRG
CRM
PFE
DELL
COP
PLD
PGR
CVS
LOW
COF
CB
SPGI
PH
MO
VRTX
VRT
DHR
SBUX
BMY
APP
HWM
SYK
TT
EQIX
SO
NEM
PWR
MDT
CDNS
LMT
BNY
DUK
NOW
CMI
MCK
USB
PNC
WMB
FTNT
ADP
SNPS
MMM
FCX
JCI
GD
TMUS
CSX
CEG
ELV
MAR
BX
CME
WM
CMCSA
AMT
RCL
ADBE
MRSH
MDLZ
EMR
ACN
HLT
UPS
SHW
ITW
CRH
SNOW
ORLY
MPC
ICE
VLO
CL
HOOD
CI
EOG
TDG
ROST
AEP
SPG
INTU
GM
NET
SPOT
SLB
MCO
DDOG
TRV
ECL
URI
COHR
NSC
AON
FIX
PSX
FDX
NOC
MSI
TER
DLR
MPWR
MNST
BSX
CIEN
DASH
HPE
TGT
REGN
WBD
KMI
HCA
TFC
KKR
APD
ALL
KEYS
SRE
PCAR
ABNB
LITE
D
DAL
CTAS
GWW
CARR
O
TRGP
AJG
BKR
CAH
FLEX
NUE
AFL
VST
OKE
AME
CTVA
F
LHX
FAST
ROK
COR
EW
ALAB
EA
AZO
ETR
APO
PSA
FITB
EBAY
LNG
MCHP
NKE
DVN
XEL
EXC
STT
MET
ON
WAB
CVNA
FERG
HUM
IDXX
RSG
TTWO
DHI
YUM
BDX
UAL
AMP
RKLB
CMG
NU
MSCI
AIG
ADSK
PEG
KDP
VMC
VTR
XYZ
ODFL
PYPL
ED
CBRE
AU
IBKR
GRMN
JBL
SYY
IRM
A
PCG
EME
WEC
PRU
ALNY
MLM
HIG
CCL
NDAQ
WAT
OXY
FANG
KVUE
ADM
CCI
KMB
ROP
